Time:,Aruco ID,x,y,z,ms,Lable:
00:00:1.267,,,,,1266.66666666667,DO_NOT_USE
00:00:1.300,,,,,1300,DO_NOT_USE
00:00:1.333,,,,,1333.33333333333,DO_NOT_USE
00:00:1.367,,,,,1366.66666666667,DO_NOT_USE
00:00:1.400,,,,,1400,DO_NOT_USE
00:00:1.433,,,,,1433.33333333333,DO_NOT_USE
00:00:1.467,,,,,1466.66666666667,DO_NOT_USE
00:00:1.500,,,,,1500,DO_NOT_USE
00:00:1.533,,,,,1533.33333333333,DO_NOT_USE
00:00:1.567,,,,,1566.66666666667,DO_NOT_USE
00:00:1.600,,,,,1600,DO_NOT_USE
00:00:1.633,,,,,1633.33333333334,DO_NOT_USE
00:00:1.667,,,,,1666.66666666667,DO_NOT_USE
00:00:1.700,,,,,1700,DO_NOT_USE
00:00:1.733,,,,,1733.33333333334,DO_NOT_USE
00:00:1.767,,,,,1766.66666666667,DO_NOT_USE
00:00:1.800,,,,,1800,DO_NOT_USE
00:00:1.833,,,,,1833.33333333334,DO_NOT_USE
00:00:1.867,,,,,1866.66666666667,DO_NOT_USE
00:00:1.900,,,,,1900,DO_NOT_USE
00:00:1.933,,,,,1933.33333333334,DO_NOT_USE
00:00:1.967,,,,,1966.66666666667,DO_NOT_USE
00:00:2.000,,,,,2000,DO_NOT_USE
00:00:2.033,,,,,2033.33333333334,DO_NOT_USE
00:00:2.067,,,,,2066.66666666667,DO_NOT_USE
00:00:2.100,,,,,2100,DO_NOT_USE
00:00:2.133,,,,,2133.33333333334,DO_NOT_USE
00:00:2.167,,,,,2166.66666666667,DO_NOT_USE
00:00:2.200,,,,,2200,DO_NOT_USE
00:00:2.233,,,,,2233.33333333334,DO_NOT_USE
00:00:2.267,,,,,2266.66666666667,DO_NOT_USE
00:00:2.300,,,,,2300,DO_NOT_USE
00:00:2.333,,,,,2333.33333333333,DO_NOT_USE
00:00:2.367,,,,,2366.66666666667,DO_NOT_USE
00:00:2.400,,,,,2400,DO_NOT_USE
00:00:2.433,,,,,2433.33333333333,DO_NOT_USE
00:00:2.467,,,,,2466.66666666667,DO_NOT_USE
00:00:2.500,,,,,2500,DO_NOT_USE
00:00:2.533,,,,,2533.33333333333,DO_NOT_USE
00:00:2.567,,,,,2566.66666666667,DO_NOT_USE
00:00:2.600,,,,,2600,DO_NOT_USE
00:00:2.633,,,,,2633.33333333333,DO_NOT_USE
00:00:2.667,,,,,2666.66666666667,DO_NOT_USE
00:00:2.700,,,,,2700,DO_NOT_USE
00:00:2.733,,,,,2733.33333333333,DO_NOT_USE
00:00:2.767,,,,,2766.66666666667,DO_NOT_USE
00:00:2.800,,,,,2800,DO_NOT_USE
00:00:2.833,,,,,2833.33333333333,DO_NOT_USE
00:00:2.867,,,,,2866.66666666667,DO_NOT_USE
00:00:2.900,,,,,2900,DO_NOT_USE
00:00:2.933,,,,,2933.33333333333,DO_NOT_USE
00:00:2.967,,,,,2966.66666666667,DO_NOT_USE
00:00:3.000,,,,,3000,DO_NOT_USE
00:00:3.033,,,,,3033.33333333333,DO_NOT_USE
00:00:3.067,,,,,3066.66666666667,DO_NOT_USE
00:00:3.100,,,,,3100,DO_NOT_USE
00:00:3.133,,,,,3133.33333333333,DO_NOT_USE
00:00:3.167,,,,,3166.66666666667,DO_NOT_USE
00:00:3.200,,,,,3200,DO_NOT_USE
00:00:3.233,,,,,3233.33333333333,DO_NOT_USE
00:00:3.267,,,,,3266.66666666666,DO_NOT_USE
00:00:3.300,,,,,3300,DO_NOT_USE
00:00:3.333,,,,,3333.33333333333,DO_NOT_USE
00:00:3.367,,,,,3366.66666666666,DO_NOT_USE
00:00:3.400,,,,,3400,DO_NOT_USE
00:00:3.433,,,,,3433.33333333333,DO_NOT_USE
00:00:3.467,,,,,3466.66666666666,DO_NOT_USE
00:00:3.500,,,,,3500,DO_NOT_USE
00:00:3.533,,,,,3533.33333333333,DO_NOT_USE
00:00:3.567,,,,,3566.66666666666,DO_NOT_USE
00:00:3.600,,,,,3600,DO_NOT_USE
00:00:3.633,,,,,3633.33333333333,DO_NOT_USE
00:00:3.667,,,,,3666.66666666666,DO_NOT_USE
00:00:3.700,,,,,3700,DO_NOT_USE
00:00:3.733,,,,,3733.33333333333,DO_NOT_USE
00:00:3.767,,,,,3766.66666666666,DO_NOT_USE
00:00:3.800,,,,,3800,DO_NOT_USE
00:00:3.833,,,,,3833.33333333333,DO_NOT_USE
00:00:3.867,,,,,3866.66666666666,DO_NOT_USE
00:00:3.900,,,,,3900,DO_NOT_USE
00:00:3.933,,,,,3933.33333333333,DO_NOT_USE
00:00:3.967,,,,,3966.66666666666,DO_NOT_USE
00:00:4.000,,,,,4000,DO_NOT_USE
00:00:4.033,,,,,4033.33333333333,DO_NOT_USE
00:00:4.067,,,,,4066.66666666666,DO_NOT_USE
00:00:4.100,,,,,4100,DO_NOT_USE
00:00:4.133,,,,,4133.33333333333,DO_NOT_USE
00:00:4.167,,,,,4166.66666666666,DO_NOT_USE
00:00:4.200,,,,,4200,DO_NOT_USE
00:00:4.233,,,,,4233.33333333333,DO_NOT_USE
00:00:4.267,,,,,4266.66666666666,DO_NOT_USE
00:00:4.300,,,,,4299.99999999999,DO_NOT_USE
00:00:4.333,,,,,4333.33333333333,DO_NOT_USE
00:00:4.367,,,,,4366.66666666666,DO_NOT_USE
00:00:4.400,,,,,4399.99999999999,DO_NOT_USE
00:00:4.433,,,,,4433.33333333333,DO_NOT_USE
00:00:4.467,,,,,4466.66666666666,DO_NOT_USE
00:00:4.500,,,,,4499.99999999999,DO_NOT_USE
00:00:4.533,,,,,4533.33333333333,DO_NOT_USE
00:00:4.567,,,,,4566.66666666666,DO_NOT_USE
00:00:4.600,,,,,4599.99999999999,DO_NOT_USE
00:00:4.633,,,,,4633.33333333333,DO_NOT_USE
00:00:4.667,,,,,4666.66666666666,DO_NOT_USE
00:00:4.700,,,,,4699.99999999999,DO_NOT_USE
00:00:4.733,,,,,4733.33333333333,DO_NOT_USE
00:00:4.767,,,,,4766.66666666666,DO_NOT_USE
00:00:4.800,,,,,4799.99999999999,DO_NOT_USE
00:00:4.833,,,,,4833.33333333333,DO_NOT_USE
00:00:4.867,,,,,4866.66666666666,DO_NOT_USE
00:00:4.900,,,,,4899.99999999999,DO_NOT_USE
00:00:4.933,,,,,4933.33333333333,DO_NOT_USE
00:00:4.967,,,,,4966.66666666666,DO_NOT_USE
00:00:5.000,,,,,4999.99999999999,DO_NOT_USE
00:00:5.033,,,,,5033.33333333333,DO_NOT_USE
00:00:5.067,,,,,5066.66666666666,DO_NOT_USE
00:00:5.100,,,,,5099.99999999999,DO_NOT_USE
00:00:5.133,,,,,5133.33333333333,DO_NOT_USE
00:00:5.167,,,,,5166.66666666666,DO_NOT_USE
00:00:5.200,,,,,5199.99999999999,DO_NOT_USE
00:00:5.233,,,,,5233.33333333332,DO_NOT_USE
00:00:5.267,,,,,5266.66666666666,DO_NOT_USE
00:00:5.300,,,,,5299.99999999999,DO_NOT_USE
00:00:5.333,,,,,5333.33333333332,DO_NOT_USE
00:00:5.367,,,,,5366.66666666666,DO_NOT_USE
00:00:5.400,,,,,5399.99999999999,DO_NOT_USE
00:00:5.433,,,,,5433.33333333332,DO_NOT_USE
00:00:5.467,,,,,5466.66666666666,DO_NOT_USE
00:00:5.500,,,,,5499.99999999999,DO_NOT_USE
00:00:5.533,,,,,5533.33333333332,DO_NOT_USE
00:00:5.567,,,,,5566.66666666666,DO_NOT_USE
00:00:5.600,,,,,5599.99999999999,DO_NOT_USE
00:00:5.633,,,,,5633.33333333332,DO_NOT_USE
00:00:5.667,,,,,5666.66666666666,DO_NOT_USE
00:00:5.700,,,,,5699.99999999999,DO_NOT_USE
00:00:5.733,,,,,5733.33333333332,DO_NOT_USE
00:00:5.767,,,,,5766.66666666666,DO_NOT_USE
00:00:5.800,,,,,5799.99999999999,DO_NOT_USE
00:00:5.833,,,,,5833.33333333332,DO_NOT_USE
00:00:5.867,,,,,5866.66666666666,DO_NOT_USE
00:00:5.900,,,,,5899.99999999999,DO_NOT_USE
00:00:5.933,,,,,5933.33333333332,DO_NOT_USE
00:00:5.967,,,,,5966.66666666666,DO_NOT_USE
00:00:6.000,,,,,5999.99999999999,DO_NOT_USE
00:00:6.033,,,,,6033.33333333332,DO_NOT_USE
00:00:6.067,,,,,6066.66666666666,DO_NOT_USE
00:00:6.100,,,,,6099.99999999999,DO_NOT_USE
00:00:6.133,,,,,6133.33333333332,DO_NOT_USE
00:00:6.167,,,,,6166.66666666665,DO_NOT_USE
00:00:6.200,,,,,6199.99999999999,DO_NOT_USE
00:00:6.233,,,,,6233.33333333332,DO_NOT_USE
00:00:6.267,,,,,6266.66666666665,DO_NOT_USE
00:00:6.300,,,,,6299.99999999999,DO_NOT_USE
00:00:6.333,,,,,6333.33333333332,DO_NOT_USE
00:00:6.367,,,,,6366.66666666665,DO_NOT_USE
00:00:6.400,,,,,6399.99999999999,DO_NOT_USE
00:00:6.433,,,,,6433.33333333332,DO_NOT_USE
00:00:6.467,,,,,6466.66666666665,DO_NOT_USE
00:00:6.500,,,,,6499.99999999999,DO_NOT_USE
00:00:6.533,,,,,6533.33333333332,DO_NOT_USE
00:00:6.567,,,,,6566.66666666665,DO_NOT_USE
00:00:6.600,,,,,6599.99999999999,DO_NOT_USE
00:00:6.633,,,,,6633.33333333332,DO_NOT_USE
00:00:6.667,,,,,6666.66666666665,DO_NOT_USE
00:00:6.700,,,,,6699.99999999999,DO_NOT_USE
00:00:6.733,,,,,6733.33333333332,DO_NOT_USE
00:00:6.767,,,,,6766.66666666665,DO_NOT_USE
00:00:6.800,,,,,6799.99999999999,DO_NOT_USE
00:00:6.833,,,,,6833.33333333332,DO_NOT_USE
00:00:6.867,,,,,6866.66666666665,DO_NOT_USE
00:00:6.900,,,,,6899.99999999999,DO_NOT_USE
00:00:6.933,,,,,6933.33333333332,DO_NOT_USE
00:00:6.967,,,,,6966.66666666665,DO_NOT_USE
00:00:7.000,,,,,6999.99999999999,DO_NOT_USE
00:00:7.033,,,,,7033.33333333332,DO_NOT_USE
00:00:7.067,,,,,7066.66666666665,DO_NOT_USE
00:00:7.100,,,,,7099.99999999998,DO_NOT_USE
00:00:7.133,,,,,7133.33333333332,DO_NOT_USE
00:00:7.167,,,,,7166.66666666665,DO_NOT_USE
00:00:7.200,,,,,7199.99999999998,DO_NOT_USE
00:00:7.233,,,,,7233.33333333332,DO_NOT_USE
00:00:7.267,,,,,7266.66666666665,DO_NOT_USE
00:00:7.300,,,,,7299.99999999998,DO_NOT_USE
00:00:7.333,,,,,7333.33333333332,DO_NOT_USE
00:00:7.367,,,,,7366.66666666665,DO_NOT_USE
00:00:7.400,,,,,7399.99999999998,DO_NOT_USE
00:00:7.433,,,,,7433.33333333332,DO_NOT_USE
00:00:7.467,,,,,7466.66666666665,DO_NOT_USE
00:00:7.500,,,,,7499.99999999998,DO_NOT_USE
00:00:7.533,,,,,7533.33333333332,DO_NOT_USE
00:00:7.567,,,,,7566.66666666665,DO_NOT_USE
00:00:7.600,,,,,7599.99999999998,DO_NOT_USE
00:00:7.633,,,,,7633.33333333332,DO_NOT_USE
00:00:7.667,,,,,7666.66666666665,DO_NOT_USE
00:00:7.700,,,,,7699.99999999998,DO_NOT_USE
00:00:7.733,,,,,7733.33333333332,DO_NOT_USE
00:00:7.767,,,,,7766.66666666665,DO_NOT_USE
00:00:7.800,,,,,7799.99999999998,DO_NOT_USE
00:00:7.833,,,,,7833.33333333332,DO_NOT_USE
00:00:7.867,,,,,7866.66666666665,DO_NOT_USE
00:00:7.900,,,,,7899.99999999998,DO_NOT_USE
00:00:7.933,,,,,7933.33333333332,DO_NOT_USE
00:00:7.967,,,,,7966.66666666665,DO_NOT_USE
00:00:8.000,,,,,7999.99999999998,DO_NOT_USE
00:00:8.033,,,,,8033.33333333332,DO_NOT_USE
00:00:8.067,,,,,8066.66666666665,DO_NOT_USE
00:00:8.100,,,,,8099.99999999998,DO_NOT_USE
00:00:8.133,,,,,8133.33333333332,DO_NOT_USE
00:00:8.167,,,,,8166.66666666665,DO_NOT_USE
00:00:8.200,,,,,8199.99999999998,DO_NOT_USE
00:00:8.233,,,,,8233.33333333332,DO_NOT_USE
00:00:8.267,,,,,8266.66666666665,DO_NOT_USE
00:00:8.300,,,,,8299.99999999998,DO_NOT_USE
00:00:8.333,,,,,8333.33333333331,DO_NOT_USE
00:00:8.367,,,,,8366.66666666665,DO_NOT_USE
00:00:8.400,,,,,8399.99999999998,DO_NOT_USE
00:00:8.433,,,,,8433.33333333331,DO_NOT_USE
00:00:8.467,,,,,8466.66666666665,DO_NOT_USE
00:00:8.500,,,,,8499.99999999998,DO_NOT_USE
00:00:8.533,,,,,8533.33333333331,DO_NOT_USE
00:00:8.567,,,,,8566.66666666665,DO_NOT_USE
00:00:8.600,,,,,8599.99999999998,DO_NOT_USE
00:00:8.633,,,,,8633.33333333331,DO_NOT_USE
00:00:8.667,,,,,8666.66666666665,DO_NOT_USE
00:00:8.700,,,,,8699.99999999998,DO_NOT_USE
00:00:8.733,,,,,8733.33333333331,DO_NOT_USE
00:00:8.767,,,,,8766.66666666665,DO_NOT_USE
00:00:8.800,,,,,8799.99999999998,DO_NOT_USE
00:00:8.833,,,,,8833.33333333331,DO_NOT_USE
00:00:8.867,,,,,8866.66666666665,DO_NOT_USE
00:00:8.900,,,,,8899.99999999998,DO_NOT_USE
00:00:8.933,,,,,8933.33333333331,DO_NOT_USE
00:00:8.967,,,,,8966.66666666665,DO_NOT_USE
00:00:9.000,,,,,8999.99999999998,DO_NOT_USE
00:00:9.033,,,,,9033.33333333331,DO_NOT_USE
00:00:9.067,,,,,9066.66666666665,DO_NOT_USE
00:00:9.100,,,,,9099.99999999998,DO_NOT_USE
00:00:9.133,,,,,9133.33333333331,DO_NOT_USE
00:00:9.167,,,,,9166.66666666665,DO_NOT_USE
00:00:9.200,,,,,9199.99999999998,DO_NOT_USE
00:00:9.233,,,,,9233.33333333331,DO_NOT_USE
00:00:9.267,,,,,9266.66666666664,DO_NOT_USE
00:00:9.300,,,,,9299.99999999998,DO_NOT_USE
00:00:9.333,,,,,9333.33333333331,DO_NOT_USE
00:00:9.367,,,,,9366.66666666664,DO_NOT_USE
00:00:9.400,,,,,9399.99999999998,DO_NOT_USE
00:00:9.433,,,,,9433.33333333331,DO_NOT_USE
00:00:9.467,,,,,9466.66666666664,DO_NOT_USE
00:00:9.500,,,,,9499.99999999998,DO_NOT_USE
00:00:9.533,,,,,9533.33333333331,DO_NOT_USE
00:00:9.567,,,,,9566.66666666665,DO_NOT_USE
00:00:9.600,,,,,9599.99999999998,DO_NOT_USE
00:00:9.633,,,,,9633.33333333331,DO_NOT_USE
00:00:9.667,,,,,9666.66666666664,DO_NOT_USE
00:00:9.700,,,,,9699.99999999998,DO_NOT_USE
00:00:9.733,,,,,9733.33333333331,DO_NOT_USE
00:00:9.767,,,,,9766.66666666664,DO_NOT_USE
00:00:9.800,,,,,9799.99999999998,DO_NOT_USE
00:00:9.833,,,,,9833.33333333331,DO_NOT_USE
00:00:9.867,,,,,9866.66666666664,DO_NOT_USE
00:00:9.900,,,,,9899.99999999998,DO_NOT_USE
00:00:9.933,,,,,9933.33333333331,DO_NOT_USE
00:00:9.967,,,,,9966.66666666664,DO_NOT_USE
00:00:10.000,,,,,9999.99999999998,DO_NOT_USE
00:00:10.033,,,,,10033.3333333333,DO_NOT_USE
00:00:10.067,,,,,10066.6666666666,DO_NOT_USE
00:00:10.100,,,,,10100,DO_NOT_USE
00:00:10.133,,,,,10133.3333333333,DO_NOT_USE
00:00:10.167,,,,,10166.6666666666,DO_NOT_USE
00:00:10.200,,,,,10200,DO_NOT_USE
00:00:10.233,,,,,10233.3333333333,DO_NOT_USE
00:00:10.267,,,,,10266.6666666666,DO_NOT_USE
00:00:10.300,,,,,10300,DO_NOT_USE
00:00:10.333,,,,,10333.3333333333,DO_NOT_USE
00:00:10.367,,,,,10366.6666666666,DO_NOT_USE
00:00:10.400,,,,,10400,DO_NOT_USE
00:00:10.433,,,,,10433.3333333333,DO_NOT_USE
00:00:10.467,,,,,10466.6666666666,DO_NOT_USE
00:00:10.500,,,,,10500,DO_NOT_USE
00:00:10.533,,,,,10533.3333333333,DO_NOT_USE
00:00:10.567,,,,,10566.6666666666,DO_NOT_USE
00:00:10.600,,,,,10600,DO_NOT_USE
00:00:10.633,,,,,10633.3333333333,DO_NOT_USE
00:00:10.667,,,,,10666.6666666666,DO_NOT_USE
00:00:10.700,,,,,10700,DO_NOT_USE
00:00:10.733,,,,,10733.3333333333,DO_NOT_USE
00:00:10.767,,,,,10766.6666666666,DO_NOT_USE
00:00:10.800,,,,,10800,DO_NOT_USE
00:00:10.833,,,,,10833.3333333333,DO_NOT_USE
00:00:10.867,,,,,10866.6666666666,DO_NOT_USE
00:00:10.900,,,,,10900,DO_NOT_USE
00:00:10.933,,,,,10933.3333333333,DO_NOT_USE
00:00:10.967,,,,,10966.6666666666,DO_NOT_USE
00:00:11.000,,,,,11000,DO_NOT_USE
00:00:11.033,,,,,11033.3333333333,DO_NOT_USE
00:00:11.067,,,,,11066.6666666666,DO_NOT_USE
00:00:11.100,,,,,11100,DO_NOT_USE
00:00:11.133,,,,,11133.3333333333,DO_NOT_USE
00:00:11.167,,,,,11166.6666666666,DO_NOT_USE
00:00:11.200,,,,,11200,DO_NOT_USE
00:00:11.233,,,,,11233.3333333333,DO_NOT_USE
00:00:11.267,,,,,11266.6666666666,DO_NOT_USE
00:00:11.300,,,,,11300,DO_NOT_USE
00:00:11.333,,,,,11333.3333333333,DO_NOT_USE
00:00:11.367,,,,,11366.6666666666,DO_NOT_USE
00:00:11.400,,,,,11400,DO_NOT_USE
00:00:11.433,,,,,11433.3333333333,DO_NOT_USE
00:00:11.467,,,,,11466.6666666666,DO_NOT_USE
00:00:11.500,,,,,11500,DO_NOT_USE
00:00:11.533,,,,,11533.3333333333,DO_NOT_USE
00:00:11.567,,,,,11566.6666666666,DO_NOT_USE
00:00:11.600,,,,,11600,DO_NOT_USE
00:00:11.633,,,,,11633.3333333333,DO_NOT_USE
00:00:11.667,,,,,11666.6666666666,DO_NOT_USE
00:00:11.700,,,,,11700,DO_NOT_USE
00:00:11.733,,,,,11733.3333333333,DO_NOT_USE
00:00:11.767,,,,,11766.6666666666,DO_NOT_USE
00:00:11.800,,,,,11800,DO_NOT_USE
00:00:11.833,,,,,11833.3333333333,DO_NOT_USE
00:00:11.867,,,,,11866.6666666666,DO_NOT_USE
00:00:11.900,,,,,11900,DO_NOT_USE
00:00:11.933,,,,,11933.3333333333,DO_NOT_USE
00:00:11.967,,,,,11966.6666666666,DO_NOT_USE
00:00:12.000,,,,,12000,DO_NOT_USE
00:00:12.033,,,,,12033.3333333333,DO_NOT_USE
00:00:12.067,,,,,12066.6666666666,DO_NOT_USE
00:00:12.100,,,,,12100,DO_NOT_USE
00:00:12.133,,,,,12133.3333333333,DO_NOT_USE
00:00:12.167,,,,,12166.6666666666,DO_NOT_USE
00:00:12.200,,,,,12200,DO_NOT_USE
00:00:12.233,,,,,12233.3333333333,DO_NOT_USE
00:00:12.267,,,,,12266.6666666666,DO_NOT_USE
00:00:12.300,,,,,12300,DO_NOT_USE
00:00:12.333,,,,,12333.3333333333,DO_NOT_USE
00:00:12.367,,,,,12366.6666666666,DO_NOT_USE
00:00:12.400,,,,,12400,DO_NOT_USE
00:00:12.433,,,,,12433.3333333333,DO_NOT_USE
00:00:12.467,,,,,12466.6666666666,DO_NOT_USE
00:00:12.500,,,,,12500,DO_NOT_USE
00:00:12.533,,,,,12533.3333333333,DO_NOT_USE
00:00:12.567,,,,,12566.6666666666,DO_NOT_USE
00:00:12.600,,,,,12600,DO_NOT_USE
00:00:12.633,,,,,12633.3333333333,DO_NOT_USE
00:00:12.667,,,,,12666.6666666666,DO_NOT_USE
00:00:12.700,,,,,12700,DO_NOT_USE
00:00:12.733,,,,,12733.3333333333,DO_NOT_USE
00:00:12.767,,,,,12766.6666666666,DO_NOT_USE
00:00:12.800,,,,,12800,DO_NOT_USE
00:00:12.833,,,,,12833.3333333333,DO_NOT_USE
00:00:12.867,,,,,12866.6666666666,DO_NOT_USE
00:00:12.900,,,,,12900,DO_NOT_USE
00:00:12.933,,,,,12933.3333333333,DO_NOT_USE
00:00:12.967,,,,,12966.6666666666,DO_NOT_USE
00:00:13.000,,,,,13000,DO_NOT_USE
00:00:13.033,,,,,13033.3333333333,DO_NOT_USE
00:00:13.067,,,,,13066.6666666666,DO_NOT_USE
00:00:13.100,,,,,13100,DO_NOT_USE
00:00:13.133,,,,,13133.3333333333,DO_NOT_USE
00:00:13.167,,,,,13166.6666666666,DO_NOT_USE
00:00:13.200,,,,,13200,DO_NOT_USE
00:00:13.233,,,,,13233.3333333333,DO_NOT_USE
00:00:13.267,,,,,13266.6666666666,DO_NOT_USE
00:00:13.300,,,,,13300,DO_NOT_USE
00:00:13.333,,,,,13333.3333333333,DO_NOT_USE
00:00:13.367,,,,,13366.6666666666,DO_NOT_USE
00:00:13.400,,,,,13400,DO_NOT_USE
00:00:13.433,,,,,13433.3333333333,DO_NOT_USE
00:00:13.467,,,,,13466.6666666666,DO_NOT_USE
00:00:13.500,,,,,13500,DO_NOT_USE
00:00:13.533,,,,,13533.3333333333,DO_NOT_USE
00:00:13.567,,,,,13566.6666666666,DO_NOT_USE
00:00:13.600,,,,,13600,DO_NOT_USE
00:00:13.633,,,,,13633.3333333333,DO_NOT_USE
00:00:13.667,,,,,13666.6666666666,DO_NOT_USE
00:00:13.700,,,,,13700,DO_NOT_USE
00:00:13.733,,,,,13733.3333333333,DO_NOT_USE
00:00:13.767,,,,,13766.6666666666,DO_NOT_USE
00:00:13.800,,,,,13800,DO_NOT_USE
00:00:13.833,,,,,13833.3333333333,DO_NOT_USE
00:00:13.867,,,,,13866.6666666666,DO_NOT_USE
00:00:13.900,,,,,13900,DO_NOT_USE
00:00:13.933,,,,,13933.3333333333,DO_NOT_USE
00:00:13.967,,,,,13966.6666666666,DO_NOT_USE
00:00:14.000,,,,,14000,DO_NOT_USE
00:00:14.033,,,,,14033.3333333333,DO_NOT_USE
00:00:14.067,,,,,14066.6666666666,DO_NOT_USE
00:00:14.100,,,,,14100,DO_NOT_USE
00:00:14.133,,,,,14133.3333333333,DO_NOT_USE
00:00:14.167,,,,,14166.6666666666,DO_NOT_USE
00:00:14.200,,,,,14200,DO_NOT_USE
00:00:14.233,,,,,14233.3333333333,DO_NOT_USE
00:00:14.267,,,,,14266.6666666666,DO_NOT_USE
00:00:14.300,,,,,14300,DO_NOT_USE
00:00:14.333,,,,,14333.3333333333,DO_NOT_USE
00:00:14.367,,,,,14366.6666666666,DO_NOT_USE
00:00:14.400,,,,,14400,DO_NOT_USE
00:00:14.433,,,,,14433.3333333333,DO_NOT_USE
00:00:14.467,,,,,14466.6666666666,DO_NOT_USE
00:00:14.500,,,,,14500,DO_NOT_USE
00:00:14.533,,,,,14533.3333333333,DO_NOT_USE
00:00:14.567,,,,,14566.6666666666,DO_NOT_USE
00:00:14.600,,,,,14600,DO_NOT_USE
00:00:14.633,,,,,14633.3333333333,DO_NOT_USE
00:00:14.667,,,,,14666.6666666666,DO_NOT_USE
00:00:14.700,,,,,14700,DO_NOT_USE
00:00:14.733,,,,,14733.3333333333,DO_NOT_USE
00:00:14.767,,,,,14766.6666666666,DO_NOT_USE
00:00:14.800,,,,,14800,DO_NOT_USE
00:00:14.833,,,,,14833.3333333333,DO_NOT_USE
00:00:14.867,,,,,14866.6666666666,DO_NOT_USE
00:00:14.900,,,,,14900,DO_NOT_USE
00:00:14.933,,,,,14933.3333333333,DO_NOT_USE
00:00:14.967,,,,,14966.6666666666,DO_NOT_USE
00:00:15.000,,,,,15000,DO_NOT_USE
00:00:15.033,,,,,15033.3333333333,DO_NOT_USE
00:00:15.067,,,,,15066.6666666666,DO_NOT_USE
00:00:15.100,,,,,15100,DO_NOT_USE
00:00:15.133,,,,,15133.3333333333,DO_NOT_USE
00:00:15.167,,,,,15166.6666666666,DO_NOT_USE
00:00:15.200,,,,,15200,DO_NOT_USE
00:00:15.233,,,,,15233.3333333333,DO_NOT_USE
00:00:15.267,,,,,15266.6666666666,DO_NOT_USE
00:00:15.300,,,,,15300,DO_NOT_USE
00:00:15.333,,,,,15333.3333333333,DO_NOT_USE
00:00:15.367,,,,,15366.6666666666,DO_NOT_USE
00:00:15.400,,,,,15400,DO_NOT_USE
00:00:15.433,,,,,15433.3333333333,DO_NOT_USE
00:00:15.467,,,,,15466.6666666666,DO_NOT_USE
00:00:15.500,,,,,15500,DO_NOT_USE
00:00:15.533,,,,,15533.3333333333,DO_NOT_USE
00:00:15.567,,,,,15566.6666666666,DO_NOT_USE
00:00:15.600,,,,,15600,DO_NOT_USE
00:00:15.633,,,,,15633.3333333333,DO_NOT_USE
00:00:15.667,,,,,15666.6666666666,DO_NOT_USE
00:00:15.700,,,,,15700,DO_NOT_USE
00:00:15.733,,,,,15733.3333333333,DO_NOT_USE
00:00:15.767,,,,,15766.6666666666,DO_NOT_USE
00:00:15.800,,,,,15800,DO_NOT_USE
00:00:15.833,,,,,15833.3333333333,DO_NOT_USE
00:00:15.867,,,,,15866.6666666666,DO_NOT_USE
00:00:15.900,,,,,15900,DO_NOT_USE
00:00:15.933,,,,,15933.3333333333,DO_NOT_USE
00:00:15.967,,,,,15966.6666666666,DO_NOT_USE
00:00:16.000,,,,,16000,DO_NOT_USE
00:00:16.033,,,,,16033.3333333333,DO_NOT_USE
00:00:16.067,,,,,16066.6666666666,DO_NOT_USE
00:00:16.100,,,,,16100,DO_NOT_USE
